sample_no,date,time,Nh4_mgNL,PO4_ugL,NO3_mgNL,DOC_mgL,ysi_SPC,notes
1,2022-10-12,13:31:30,NA,NA,0.004,1.52063547,87,Reach length: 150m
2,2022-10-12,13:41:00,NA,NA,0.005,1.25660347,87,"BOR HOBO: NA, HOR HOBO: 20775523"
3,2022-10-12,13:45:00,NA,NA,0.021,NA,87.7,"700 g NaCl, 500 g KNO3, 12L H2O"
4,2022-10-12,13:48:00,NA,NA,0.126,NA,90.8,"Injection start: 13:14:50 PST, injection end: 13:16:20 PST"
5,2022-10-12,13:50:00,NA,NA,0.099,NA,93.5,"BOR GPS: N 39.10757, W 120.16502; elevation: 6342 ft"
6,2022-10-12,13:52:00,NA,NA,0.214,NA,97.6,"HOR GPS: N 39.10833, W 120.16545; elevation: 6358 ft"
7,2022-10-12,13:54:00,NA,NA,0.467,NA,100.9,
8,2022-10-12,13:56:00,NA,NA,0.451,NA,104.1,
9,2022-10-12,13:58:00,NA,NA,0.585,NA,106.8,
10,2022-10-12,14:00:00,NA,NA,0.217,NA,108.3,
11,2022-10-12,14:02:00,NA,NA,0.465,NA,109,
12,2022-10-12,14:04:00,NA,NA,0.353,NA,108.5,
13,2022-10-12,14:08:00,NA,NA,0.417,NA,106.3,
14,2022-10-12,14:10:30,NA,NA,0.607,NA,104.6,
15,2022-10-12,14:13:00,NA,NA,0.623,NA,102.4,
16,2022-10-12,14:17:00,NA,NA,0.466,NA,99.5,
17,2022-10-12,14:22:00,NA,NA,0.301,NA,96.2,
18,2022-10-12,14:32:00,NA,NA,0.183,NA,92,
19,2022-10-12,14:41:00,NA,NA,0.141,1.25374907,89.9,
HOR_2,2022-10-12,13:14:00,NA,NA,NA,NA,NA,
HOR_3,2022-10-12,14:00:00,NA,NA,NA,NA,NA,
HOR_4,2022-10-12,14:26:00,NA,NA,NA,NA,NA,
